NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,436.560056748445
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,472.80504278600483
b38a03232f43b11c9d0788abaf060f7366053b6d,576.7385230301982
70b682d9a3636be23f6120fa9d6b164eb3c6002d,0.0
715494628a50142ce8cb17191cfe6d0f3cae0934,534.0152103048132
e656d6bad65c93fb2880f1eba5037008c8e75774,470.8588488257112
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,551.4876616921209
11539e86171bf07d3a36f09377d7f54ebcc8406a,434.0057476045559
043c544a2104aa8a9849f1a703a08d37a2f16839,478.6382440580121
76ba050e64ad100b856f0eaabd8f539d5c7dd185,429.20823035024307
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,0.0
db4da599aab5bb08dce27094a35fd3e36cd0abce,0.0
940aede382ccb332fab15d413217695ec44ca765,452.84392744884127
9ad714b116da76d878dd399d187fccc2dd13dd63,567.4136550339073
dd34464a4d780b12a089347ad580418ac57a3055,567.2622513316122
f837a4cb05a5fd59d20138182f5e8c721eadd584,494.66691116211325
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,0.0
ca8477c8493b09f34d17bb287f9bacf2dd744c32,0.0
8b0c675d7fde14953668269d378c588f0df0498b,0.0
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,418.56083086086875
3d203727f27abd83b71732d88d8cb1cc099f363b,456.2840854747449
d30d31c8ff45094e9a992c63d4a6f68b245a341a,0.0
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,0.0
cbc301183dec912f3513ca766bf03dd565f3a38f,478.5581581901935
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,689.7431897735244
11282da1ee78c8db45a041db4c744e33df489df0,471.94175025410635
03c67f683a415c2ea09b582248bd4cb08528c19d,639.9977661127618
046e844fb06a07ba30b41521f0065a8d9c6e5024,421.638428630658
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,457.8891814936118
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,0.0
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,0.0
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,430.9762871555343
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,600.9452286242271
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,499.91825694110025
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,494.8811644821362
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,468.3870802969392
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,473.0343285689928
59bfa081e020013410d9f60f91813964ba749bb2,446.6286966806444
f5e069ee3bc95998464e8ff5da048b7f999921ed,429.52793747663577
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,561.7498134672549
664f44258212a1f7e4086f2b4845d586c543fa3f,483.77703407005686
265cd7befa74a9f2a198fc57baec9858075f8419,446.00029312913216
6f9ac44919bbd204e0ef15185388fd2d4bc61253,464.8758289845463
78de1ee60b55766cc3eba4089e36c57139b66ebd,432.7068834933423
24550edb10f283ef4e953fd6a8fedbfa211bd456,0.0
1e61a474acdc043eb39a89c17fab34bd2ea1a940,413.6859778258657
940af68ded6af2875708611051aa7ff3f134d80b,482.9847460429232
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,496.1473168151369
c76ddf6e9f80984e901b12f9462a3cf029bea290,494.784430407104
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,461.6263711669212
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,0.0
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,0.0
92823d467a2ced9529801e0e8a94802dd88f0c17,433.269348040645
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,567.8780735685332
413cbb38b2e2522f8167ffb9daeac1347b281393,442.44954281764484
68985fad004092956a4b4ce94dd53dc76d07eaf7,476.89534409703685
bdca9aeb19521675af15f2c28d86f6bebc45a834,522.9990184103722
b65b19d42b7a4b644fe9f99366dcb37b120862d9,442.9949959486432
eda898aa8ec465cbac70de72ead0c6d688e5f95a,414.5872804720975
5357b6c09be4c7f3829b72f80de846a9228253cb,0.0
8d5c4481d736f6ce27976e400f4245bf10757608,437.93944243114896
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,0.0
089613ac7dca24109f84c72a97c83b2768b1df1c,0.0
527773409bf373301dbd835e59a263c035c043b8,0.0
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,0.0
c4cea54435c0fd0e171eed4c215479bb3ca86113,450.2893683777004
7d5cd89c6112b9a202a025a24355135bc60848c6,496.42851628339787
b70ab62384aa80545928a311f5b5d3db2f4d87ee,538.4328139486945
c96431dd924f366d2229a7f1455388b8cd85be49,559.4498047924292
1b72da5bb82cc150ecfe71218c02f155d694230b,0.0
e429507efe1c2680cc464481850117d17083cd88,0.0
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,454.37969800075905
e724482370ae6126008ade80b564ad8d8a0a7cbd,448.24835985749513
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,619.7728949263907
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,0.0
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,468.3693165187935
7f898f8939ae054359f83ee154bb91bc7dd2c959,532.7476322038837
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,494.74333346608324
82e3b12c6366008fabc238f299f117074e78de5d,420.63213032339763
0d838be0e718ceb786cdb10fcc12559e00440240,501.1328664791698
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,469.892097662895
5a9d89465845ac2d81366275cbb1a81d627efd36,0.0
c83fe640ba466ba904ac1055e53a875289888797,469.0382022531945
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,484.078358426086
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,423.10294042490136
328639a0c753715c30a58bae70c82f2101153eb3,462.7187548172628
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,0.0
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,531.179003437806
f56746cc2900258507d2b32c126f8db090db856f,432.05293784056187
1a4963b5fea8bb25c67750cdafbe84b01efad177,425.87045972809335
b520c940e62f4ed684417e7eacf00d85752060da,488.6470822761407
2e170cf2651ed448991af6fc5df15167733b2d8f,451.76476957213924
6efdd93a0ae289be6bb5a400bfc1deb077d75886,428.4151866548462
72ac2acc787d8cba0934cca3810ac091d792c8db,523.7400743389089
92a25eee14554806f081869cc9dac868fd1860fb,476.61370327870253
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,427.36330678221134
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,476.955212768775
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,547.9099298107374
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,448.0824145579937
1730807e4916c5f7e8ab21e02ac5657bcea3e732,0.0
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,475.02914254785424
1a46d99716282410d1170f0f35069b34e34415d4,437.78491981005374
0467e022da4ef897f666bc76f31e1bc8976f7e92,505.5276152682156
993aca0d5eac6741117947c82a3647102096255e,445.7887638418284
94c96ade6ade21deb080bba6aad537fc4f195d47,500.32730035366194
36bb672077a46a3e4755cef90437a616d28bdf23,460.3365525480657
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,423.3354850593327
328ca19128d276eb4fbc309c54ec7f346c803d2f,754.6841378653177
27cdb62f0a2a5467efeb30aafbf246ed2320c532,417.7423660531358
c52cae37c3653620bbec72264c502f45ca2a8671,0.0
f9ef2695eb0986666093945894b8f2fee351bf22,491.141729771977
2178c497293d0cab01ce74f5105b1a398fb12d8e,0.0
e21faa0c07406dde71ec02f266b19b314ba8b0e2,0.0
8a021391cdaac100dab56c59284bd50137a74129,526.5176651943154
12ee0df69325d97cb95404958c4acf4112aeab8a,0.0
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,465.72893710901167
66cf0f8b5af2466f9616fd15c0c10344df84982a,0.0
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,451.8003991629123
60edc5708acd60680891ea15379dd07c7a5924ff,0.0
b9f786712775e0d1d735398d710b01f404c985a3,419.5392717341068
564958997e204bda06fbe90afc4722805c78a855,553.6795537473699
